id,customer_code,name,address_line1,address_line2,address_line3,address_line4,postcode,phone_number,country_code,category,currency,pod_on_portal,invoice_on_portal,handheld_status_on_portal,eta_status_on_portal,general_status_on_portal,status,vat_number,payment_terms,created_at,updated_at,is_deleted
63,LIF002,LIFESTYLE ARTS AND CRAFTS LTD,UNIT 10 GATE FARM RURAL ENT PARK,WETTENHALL ROAD,Nantwich,Cheshire,CW5 6AL,01606 301500,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
64,LIV001,LIVESTOCK SUPPLIES LTD,BEESTON GATE FARM,BEESTON,Tarporley,Cheshire,CW6 9NN,01829 260328,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
65,LVP001,LV Power Solutions Ltd,Unit 12A,Oasis Business Park,Winsford,Cheshire,CW7 3RY,,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
66,THO004,M J & M C Thomasson,Aston Lower Hall,Worleston,Nantwich,Cheshire,CW5 6DS,7733160928,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
67,MSU001,MAC STORE UK,30 WALL LANE,NANTWICH,Nantwich,Cheshire,CW5 5LS,02030049465	,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
68,MAG001,MAGFORMERS UK LTD,UNIT 4 ALVASTON BUSINESS PARK,MIDDLEWICH ROAD,Nantwich,Cheshire,CW5 6PF,01270 446250,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
69,MAP001,MAPLE LEAF DESIGNS,MAPLE LEAF HOUSE,CREWE ROAD,Sandbach,Cheshire,CW11 4RS,01270 253214,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
70,MED001,MEDALOGIX LTD,147 JOHN RUSKIN STREET,.,London,Greater London,SE5 0PQ,7956337366,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
71,MER001,MERGE GAMES LTD,BEXTON RISE,BEXTON LANE,Knutsford,Cheshire,WA16 9AB,7555923154,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
72,MCL001,MICKLEY CORPORATION LTD,MICKLEY HALL,BROOMHALL,Nantwich,Cheshire,CW5 8AJ,0800 7720058,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
73,MIN001,MINSTER INSULATION,SAINT-GOBAIN HOUSE,BINLEY BUSINESS PARK,Coventry,West Midlands,CV3 2TT,01606 863888,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
74,MIT001,MITA LOGISTICS LTD,PWLL MAWR,THE VILLAGE,Holywell,Flintshire,CH8 9BZ,01978 660892,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
75,GRI001,Mr Kevin Grice,59 Marsh Lane,Nantwich,Nantwich,Cheshire,CW5 5HP,7966475254,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
76,NAT004,NATUREN LTD,UNIT 1 HILBRE BUSINESS PARK,CARR LANE,Wirral,Merseyside,CH47 4AZ,0151 329 0201,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
77,NEO002,NEON FREIGHT,2 THE OLD SHIPPON,SANDLOW GREEN FARM,Crewe,Cheshire,CW4 8AS,01477 668003,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
78,NET001,NETFLOOR SYSTEMS LTD,THE ATCOST BUILDING,NEW RUSSIA HALL,Chester,Cheshire,CH3 9AH,07713 120190,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
79,NWF003,NWF AGRICULTURE LTD,.,.,Nantwich,Cheshire,CW5 6AQ,01829 262263,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
80,NER001,Nerudia Ltd,Wellington House,Physics Road,Liverpool,Lancashire,L24 9HP,1519098511,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
81,NEW006,New Leaf Products,74 Brent Street,Hendon,London,Greater London,NW4 2ES,7956318531,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
82,PLNCB01,PALLETLINE CENTRAL BILLING,.,Starley Way,Birmingham,West Midlands,B37 7HB,,GBR,DEP,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
83,PAR001,PARAGON FREIGHT MANAGEMENT LTD,PARAGON HOUSE,BOTHWELL BRIDGE BUSINESS PARK,Hamilton,South Lanarkshire,ML3 0FD,01698 368686,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
84,PCO001,PCO GROUP UK LTD,UNIT 1B,SPITFIRE ROAD,Nantwich,Cheshire,CW5 6HT,01270 781188,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
85,PEN001,PENNINE DISTRIBUTION CENTRE LTD,QUEENSWAY,ROCHDALE,Rochdale,Lancashire,OL11 2NU,01706 351626,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
86,PLA001,PLASCHEM LTD,28 ABBOTSINCH ROAD,GRANGEMOUTH,Grangemouth,Falkirk,FK3 9UX,01786 462 647,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
87,PRO005,PROCESS DECONTAMINATION SYSTEMS LTD,UNIT 1 ALVASTON BUSINESS PARK,MIDDLEWICH ROAD,Nantwich,Cheshire,CW5 6PF,01270 664401,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
88,PYD001,PYD TRADING LTD,PO BOX 6090,.,Southend-On-Sea,Essex,SS1 9WN,0121 285 1886,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
89,QUA002,QUALITY FREIGHT SERVICES LTD,UNIT 1 PEEL HOUSE,TAUNTON STREET,Shipley,West Yorkshire,BD18 3NA,01274 580866,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
90,QUE001,QUELFIRE LTD,Spitfire Road,"Unit 4 Spitfire Rd, ",Nantwich,Cheshire,CW5 6HT,0161 928 7308,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
91,POL001,RAI POLYMERS UK LTD,Unit 7 Granary Wharf,Wetmore Road,Burton on Trent,Staffordshire,DE14 1DU,01283 517517,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
92,REC001,RECYCLING UK LTD,10 PORTAL BUSINESS PARK,EATON LANE,Tarporley,Cheshire,CW6 9DL,01829 732471,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
93,RES001,RESIN HANDLING SERVICES LTD,UNIT 3,WINCHAM INDUSTRIAL ESTATE,Northwich,Cheshire,CW9 6DF,01606 354384,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
94,KFF001,RICHARD FURNESS T/A K F FURNESS & PRTNRS,ARLEY MOSS FARM,ASTON BY BUDWORTH,Northwich,Cheshire,CW9 6LZ,7544080048,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
95,RMS001,RMS Freight Ltd,10 St Christophers Avenue,Ashton under Lyne,Ashton under Lyne,Greater Manchester,OL6 9DT,07845 071053,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
96,ROW001,ROWLINSON GARDEN PRODUCTS LTD,GROUP OFFICES,GREEN LANE,Nantwich,Cheshire,CW5 6BN,01829 261121,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
97,RTL001,RTL55 LTD,2 NEWTON PARK,NEWTON SOLNEY,Burton on Trent,Derbyshire,DE15 0SX,07713 415 888,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
98,SAF001,SAFE SOLUTIONS (SAFE4) LTD,BOSTOCK ROAD,WINSFORD,Winsford,Cheshire,CW7 3BD,01606 591900,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
99,SCH001,SCHOLASTIC LTD,WESTFIELD ROAD,.,Southam,Warwickshire,CV47 0RA,01926 819511,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
100,SEC001,SECONDTEK LTD,UNIT 3 ROAD ONE,WINSFORD IND ESTATE,Winsford,Cheshire,CW7 3PZ,01606 590502,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
101,SEC002,SECURE WEEE RECYCLING LTD,UNIT 1-3 COTTON FARM,MIDDLEWICH ROAD,Crewe,Cheshire,CW4 7ET,01477 531428,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
102,SHA002,SHADOW FOAM LTD,Unit 34-36 COSGROVE BUSINESS PARK,DAISY BANK LANE,Northwich,Cheshire,CW9 6FY,0808 168 2878,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
103,SSC001,SHROPSHIRE STREET CATS,BASSETT COTTAGE,JUG BANK,Market Drayton,Staffordshire,TF9 4NJ,07443 507526,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
104,SEM001,Sempergreen UK Ltd,125 Wood Street,London,London,Greater London,EC2V 7AW,31(0)343539699,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
105,TEST,TEST001,TEST,TEST,TEST,we,cw1 3lw,,GBR,GEN,GBP,false,false,false,false,false,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
106,HAM001,THE HAPPY HAMSTER COMPANY,UNIT 2A,KING STREET TRADING ESTATE,Middlewich,Cheshire,CW10 9LF,01477 532317,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
107,LAW001,THE LAWN STORE GARDEN PRODUCTS LTD,UNIT 7 WILTON BUSINESS CENTRE,WILTON,Salisbury,Wiltshire,SP2 0AH,01722 744681,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
108,REC003,THE RECLAIMED TIMBER BUSINESS,UNIT 2B IDDENSHALL HALL FARM,RODE STREET,Tarporley,Cheshire,CW6 0EG,07552 608444,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
109,TSS001,THE SHOPFITTING SHOP LTD,UNIT 4B,HOLMES CHAPEL BUSINESS PARK,Crewe,Cheshire,CW4 8AF,0161 4567955,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
110,TIP003,TIPI UNIQUE LTD,UNIT 5-6 WOODFORD COURT,WOODFORD PARK IND EST,Winsford,Cheshire,CW7 2RB,01606 246 125,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
111,TBE001,TONY BULL EXCAVATIONS,THE WILLOWS,MINSHULL LANE,Nantwich,Cheshire,CW5 6EF,7836617721,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
112,TRA011,TRANSPORTIFY LIMITED,THE CHARTER BUILDING,SPACES," UXBRIDGE",,UB8 1JG,,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
113,TRI001,TRIPAK (SERVICES) LTD,ROAD 3 WINSFORD IND EST,.,Winsford,Cheshire,CW7 3PD,01606 861 707,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
114,CRU001,The Crucial Sauce Company,31 DOLLMAN STREET,UNIT 1A AND B,Birmingham,West Midlands,B7 4RP,01213 333233,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
115,TIG001,Tiger Trailers Ltd,16 Road One,Winsford Industrial Estate,Winsford,Cheshire,CW7 3RL,01606 339640,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
116,UNL001,UNETTE NUTRITION LTD,UNIT 1A,AVRO HOUSE,Nantwich,Cheshire,CW5 6HT,01270 668886,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
117,VAL001,VALENTTE LTD,Artis Road,Unit 9 Artis Road,Winsford,Cheshire,CW7 3SE,07375026128,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
118,VIN001,VINYL DECALS DIRECT LTD,UNIT 4 ENTERPRISE BUSINESS PARK,LINDEN WAY,Coalville,Leicestershire,LE67 3RL,01530 448705,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
119,VIV001,VIVE HEALTH LLC,8955,FONTANA DEL SOL WAY,.,.,34109,239 248 8658,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
120,WAR004,WAREHOUSE ONE DISTRIBUTION LTD,ROAD ONE,WINSFORD,Winsford,Cheshire,CW7 3RA,01606 869696,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
121,WEE001,WEETWOOD ALES,THE BREWERY,COMMON LANE,Tarporley,Cheshire,CW6 0PY,01829 707940,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
122,WIL001,WILDING SNACKS LTD,UNIT 7B BRYDGES COURT,CASTLEDOWN ROAD,Andover,Hampshire,SP11 9FT,7500115635,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
123,WIR001,WIRECO LTD,BERISFORD HOUSE,FOUNDRY BANK,Congleton,Cheshire,CW12 1EE,01782 585073,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
124,WRE001,WRENBURY CIDER,WRENBURY HOUSE,NANTWICH ROAD,Nantwich,Cheshire,CW5 8EW,0170 781212,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false
125,YUM001,YUMSH SNACKS LTD,TEN ACRE HOUSE,CORNBROOK,Manchester,Greater Manchester,M16 9HQ,0161 974 7504,GBR,GEN,GBP,true,false,true,true,true,Active,,14,2025-10-09T07:39:35.978Z,2025-10-09T07:39:35.978Z,false