id,registration_plate,description,category,brand,max_payload_kg,max_spaces,length_m,width_m,height_m,weight_kg,status,is_active,created_at,updated_at,is_deleted
3,564498,Double decker,Own,Double decker,24000,52,13.70,2.55,4.88,39000,active,true,2025-10-09T06:46:37.512Z,2025-10-09T06:46:37.512Z,false
4,564507,Double decker,Own,Double decker,24000,72,13.70,2.55,4.88,39000,active,true,2025-10-09T06:46:37.512Z,2025-10-09T06:46:37.512Z,false
5,569498,Double decker,Own,Double decker,24000,52,13.70,2.55,4.88,39000,in-active,false,2025-10-09T06:46:37.512Z,2025-10-09T06:46:37.512Z,false
1,GDA 11111,,Own,Schmitz,,,,,,,inactive,false,2025-10-09T06:45:26.417Z,2025-10-09T06:46:37.512Z,false
2,GWE 22222,,Own,Krone,,,,,,,inactive,false,2025-10-09T06:45:26.417Z,2025-10-09T06:46:37.512Z,false
8,PDD1,Double decker,Own,Double decker,24000,52,13.70,2.55,4.88,39000,active,true,2025-10-09T06:46:37.512Z,2025-10-09T06:46:37.512Z,false
9,PDD2,Double decker,Own,Double decker,24000,72,13.70,2.55,4.88,39000,active,true,2025-10-09T06:46:37.512Z,2025-10-09T06:46:37.512Z,false
10,PDD3,Double decker,Own,Double decker,24000,52,13.70,2.55,4.88,39000,active,true,2025-10-09T06:46:37.512Z,2025-10-09T06:46:37.512Z,false
11,PDD4,Double decker,Own,Double decker,24000,72,2.55,2.55,4.88,39000,active,true,2025-10-09T06:46:37.512Z,2025-10-09T06:46:37.512Z,false
12,SDC,Single,Own,Single,24000,26,13.70,255.00,4.20,39000,active,true,2025-10-09T06:46:37.512Z,2025-10-09T06:46:37.512Z,false
13,SDC1,single,Own,single,24000,26,13.70,2.55,4.20,39000,active,true,2025-10-09T06:46:37.512Z,2025-10-09T06:46:37.512Z,false
14,SDC2,"single ",Own,"single ",24000,26,13.70,2.55,4.20,39000,active,true,2025-10-09T06:46:37.512Z,2025-10-09T06:46:37.512Z,false
15,SDC3,Single,Own,Single,24000,26,13.70,2.55,4.20,39000,active,true,2025-10-09T06:46:37.512Z,2025-10-09T06:46:37.512Z,false
16,URS01,Urban,Own,Urban,22000,22,0.00,0.00,0.00,0,active,true,2025-10-09T06:46:37.512Z,2025-10-09T06:46:37.512Z,false
17,VS001,40 Foot Curtain Sider,Own,40 Foot Curtain Sider,8000,26,10.00,2.00,5.00,1800,in-active,false,2025-10-09T06:46:37.512Z,2025-10-09T06:46:37.512Z,false